ID, check_bal , num_inactive_mths , check_trans_average , num_check_acct , avg_check_bal_3mth , num_mth_since_max_bal , num_mth_since_max_neg_bal , mthly_change_in_neg_bal , mthly_change_in_pos_bal , max_bal , max_neg_bal , avg_num_active_acct_last_6_mth , avg_num_active_acct , avg_overdraft , avg_overdraft_last_6_mth , CC_wtdrw_last_3_mth , CC_wtdrw , saving_acct_bal_EOM , change_in_saving_bal_in_1mth , change_in_liquid_funds_in_1mth , liquid_funds_bal , age , CLV , Churn 
12987,2, -      ,4,5,1,5,12,"-1,036",0,76,"51,566",4,6,40,9,"1,184",348, -      , -      , -      , -      ,31,"1,184",0
12988, -      , -      ,0, -      , -      ,10,1, -      ,-5,190, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,105,18,0
12989, -      , -      ,3,5, -      ,8,12,-14, -      ,132,392,2,2,332,341, -      , -      , -      , -      , -      , -      ,21,278,0
12990,"64,664", -      ,11,10,"60,163",1,1, -      ,"5,299","64,585", -      ,3,5, -      , -      ,870,244, -      , -      , -      , -      ,143,"2,880",0
12991,0, -      , -      , -      ,0,2,1, -      ,0,0,270,1,1, -      , -      ,58,2, -      , -      , -      , -      ,46, -      ,0
12992, -      , -      , -      , -      , -      ,1,1, -      , -      ,"10,885",268,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,26, -      ,0
12993,0, -      ,2,2, -      ,4,5,-86, -      ,158,"1,490",2,2, -      ,0, -      , -      , -      , -      , -      , -      ,66,147,0
12994,"8,089", -      ,23,30,"5,445",9,1, -      ,"-1,795","310,669", -      ,6,8, -      , -      ,"8,971","3,276","108,665","-1,701",0,6,174,"2,696",0
12995,"5,316", -      ,14,13,"1,676",1,1, -      ,"54,840","299,408", -      ,6,8, -      , -      ,"4,022","1,280","303,280","21,776","32,970","32,970",76,"2,248",0
12996,0, -      ,11,18,0,7,12,24,0,404,"3,544",4,4,30,122, -      , -      , -      , -      , -      , -      ,63,307,0
12997,3, -      ,4,8,2,8,5,-461,0,748,"8,202",3,4, -      , -      ,163,83, -      , -      , -      , -      ,73,"1,118",0
12998, -      , -      ,1, -      , -      ,6,1, -      ,0,"2,858", -      ,1,1, -      , -      , -      , -      ,0,0, -      , -      ,60,5,0
12999, -      , -      , -      , -      , -      ,1,1, -      , -      ,"1,870", -      ,1,2, -      , -      ,748,240, -      , -      , -      , -      ,29,11,0
13000,269, -      ,16,14,247,10,1, -      ,"1,011","22,081", -      ,6,6, -      , -      , -      , -      , -      , -      ,"1,502","13,616",117,558,0
13001,"1,531", -      ,18,26,"1,020",4,12,-429,-853,"2,654","10,398",7,9,63,204,"2,896",957, -      , -      , -      , -      ,20,931,0
13002, -      ,1,2, -      ,1,3,10, -      ,0,"1,508",841,1, -      , -      ,207, -      , -      , -      , -      , -      , -      ,25,458,0
13003,1, -      ,4,4,0,12,12,-256,0,290,"5,236",3,3, -      , -      , -      , -      , -      , -      ,0,23,104,697,0
13004, -      , -      ,3,4,0,2,12,-334,0,1,"3,522",3,2, -      ,20, -      , -      , -      , -      , -      , -      ,15,464,0
13005,892, -      ,8,7,357,7,12, -      ,215,709,"4,354",7,7, -      ,19,-420,-198, -      , -      , -      , -      ,29,607,0
13006, -      ,3, -      , -      , -      ,8,12, -      , -      ,478,"1,115",1, -      , -      , -      , -      , -      , -      , -      , -      , -      ,45,171,0
13007,4, -      ,4, -      ,4,12,12, -      ,0,433,"5,592",4,2, -      ,22, -      , -      , -      , -      , -      , -      ,52,507,0
13008,"17,656", -      ,15, -      ,"11,914",3,8,9,"-14,173","33,770",239,5,4,14,5,-7,-2, -      ,"-27,816", -      , -      ,23,"1,001",0
13009, -      , -      ,6,8, -      ,12,12, -      , -      ,0,143,2,2, -      , -      ,"1,456",244, -      , -      , -      , -      ,105, -      ,0
13010,"1,650", -      ,29,36,657,11,4,3,-679,"7,347",37,8,10,3,12,"2,260",839, -      , -      ,-299,232,88,93,0
13011, -      , -      ,10,5,19,5,12,-191,-54,451,"4,606",8,7,135,142,-209,-30,23,-1, -      , -      ,48,279,0
13012, -      , -      ,1, -      , -      ,10,1, -      ,1,"1,092", -      ,2,3, -      , -      ,"1,531",256, -      , -      , -      , -      ,143,126,0
13013,656, -      ,6,8,58,6,8,-15,-95,514,299,6,5,282,201,"1,015",371, -      , -      , -      , -      ,46,184,0
13014,456, -      ,15,15,77,8,7,-264,-6,"1,329","6,294",9,11,186,194,"1,322",485,49,-2,0,1,20,658,0
13015,547, -      ,21,20,78,4,11,-127,-31,721,"8,349",7,8,219,251,628,118, -      , -      , -      , -      ,34,168,0
13016, -      , -      , -      , -      , -      ,1,1, -      , -      ,0,628,1,1, -      , -      ,466,190, -      , -      , -      , -      ,56,32,0
13017, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,2,3, -      , -      ,"4,344",871, -      , -      , -      , -      ,135,"2,184",0
13018,"1,017", -      ,1,3,185,1,1, -      ,556,556, -      ,1,3, -      , -      , -      , -      , -      , -      , -      , -      ,174,9,0
13019,"5,457", -      ,14,7,354,1,12,-925,306,671,"5,543",6,7, -      ,142,269,220, -      , -      , -      , -      ,63,710,0
13020, -      , -      , -      , -      , -      ,11,12, -      , -      ,89,"2,716",1,1, -      , -      ,"1,182",281, -      , -      , -      , -      ,22,188,0
13021,"4,236", -      ,8,6,"4,374",9,1, -      ,-251,"23,997", -      ,4,7, -      , -      , -      , -      ,648,-11,-7,406,124,730,0
13022, -      , -      , -      , -      , -      ,12,1, -      ,0,25, -      ,1,1, -      , -      , -      , -      , -      , -      ,0,23,117,1,0
13023,"2,633", -      ,18,19,"2,351",3,1, -      ,164,"3,279", -      ,4,4, -      , -      , -      , -      , -      , -      , -      , -      ,20,291,0
13024,0, -      ,2,2,0,3,6,-127,0,0,"1,682",2,3, -      , -      , -      , -      , -      , -      , -      , -      ,34,274,0
13025,62, -      ,3,4,103,12,11,"-1,267",-20,"13,261","55,153",3,4,570,293,-81,-26, -      , -      , -      , -      ,12,"1,589",0
13026,510, -      , -      , -      ,508,12,1, -      ,-11,"378,792", -      ,1,1, -      , -      ,-170,-54, -      , -      , -      , -      ,57,99,0
13027, -      , -      , -      , -      , -      ,1,1, -      , -      ,0,"1,576",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,27, -      ,0
13028,0, -      ,1,4, -      ,5,1,956, -      ,115,"3,878",3,5,27,5,830,279, -      , -      , -      , -      ,94,602,0
13029,"1,601", -      ,47,61,711,7,1, -      ,628,"14,666",129,6,10, -      , -      ,"3,135","1,099", -      , -      , -      , -      ,25,474,0
13030,"1,406", -      ,0,1,30,1,1, -      ,89,89, -      ,1,3, -      , -      ,323,47, -      , -      , -      , -      ,41,143,0
13031,0, -      ,2,2, -      ,5,12,-414, -      ,19,"12,439",2,2, -      , -      , -      , -      , -      , -      , -      , -      ,35,357,0
13032,62, -      ,2, -      ,37,1,1, -      ,1,56, -      ,0,1, -      , -      , -      , -      , -      , -      , -      , -      ,45,"5,996",0
13033, -      , -      ,1,3,0,2,1,321,0,0,"2,462",2,4,114,19, -      , -      , -      , -      , -      , -      ,46,74,0
13034,386, -      ,10,11,305,3,12, -      ,-52,"1,242",35,4,4, -      ,1,-253,-81, -      , -      , -      , -      ,34,45,0
13035, -      , -      ,5,4, -      ,3,6,-220,0,2,"2,784",5,6,244,320,"1,108",358, -      , -      ,0,2,24,308,0
13036,708, -      ,7,6,739,12,1, -      ,-240,"27,488", -      ,4,4, -      , -      , -      , -      ,"9,421",-184,0,23,76,730,0
13037,733, -      ,2,3,51,8,1, -      ,55,264, -      ,1,2, -      , -      , -      , -      , -      , -      , -      , -      ,40,5,0
13038,10, -      ,3,3,424,3,2,-555,-23,"1,229","5,795",4,7,13,3,"1,208",-966, -      , -      , -      , -      ,37,609,0
13039, -      , -      , -      , -      , -      ,9,8, -      , -      ,53,"7,882",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,60,94,0
13040,"5,834", -      ,7,4,"3,714",2,1, -      ,"-3,547","5,432", -      ,4,3, -      , -      , -      , -      , -      , -      , -      , -      ,20,432,0
13041, -      , -      ,3,3, -      ,1,12,-268, -      ,0,"8,452",3,3,711,695, -      , -      , -      , -      , -      , -      ,27,"1,764",0
13042,715, -      ,14,10,89,6,12,-577,78,273,"7,673",7,7,46,167, -      , -      , -      , -      , -      , -      ,25,585,0
13043,0, -      ,2,2,0,1,7,-711, -      ,0,"22,524",2,2, -      , -      , -      , -      , -      , -      , -      , -      ,77,387,0
13044,"1,695", -      , -      , -      ,"1,716",12,1, -      ,-81,"8,298", -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,41, -      ,0
13045, -      , -      ,7,8,0,11,10,2, -      ,23,"2,290",4,6,161,47,228,77, -      , -      , -      , -      ,31,86,0
13046,"2,146", -      ,4,8,"1,250",2,1, -      ,-560,"1,617", -      ,3,4, -      , -      , -      , -      , -      , -      , -      , -      ,74,9,0
13047,"114,523", -      ,54,60,"20,084",1,1, -      ,"54,233","288,888", -      ,6,9, -      , -      , -      , -      ,"200,000","21,565",-108,975,104,"4,707",0
13048, -      , -      ,1,3, -      ,1,1,3, -      , -      ,3,1,4,3,0,653,60, -      , -      , -      , -      ,15,1,0
13049,0, -      ,2,2, -      ,1,10,-61, -      , -      ,"1,642",2,3, -      , -      ,0,0, -      , -      , -      , -      ,35,222,0
13050, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,2,2, -      , -      ,"6,017","2,274", -      , -      , -      , -      ,45, -      ,0
13051,0, -      ,2,3, -      ,12,12,-86,0,90,"2,778",3,5,11,2,"2,021",812, -      , -      , -      , -      ,68,350,0
13052, -      , -      ,4,5, -      ,1,12,6, -      ,153,"5,073",5,5,358,353,"5,733","1,891", -      , -      , -      , -      ,95,835,0
13053,"17,471", -      ,17,29,"2,729",1,1,"11,026","7,488","7,647","11,061",6,8,222,197,501,27, -      , -      , -      , -      ,23,471,0
13054,15, -      ,2,2,9,1,12,-265,1,191,"6,126",4,5, -      , -      ,"1,696",616, -      , -      , -      , -      ,61,"1,294",0
13055, -      , -      , -      , -      , -      ,12,1, -      ,0,"1,685", -      ,1,1, -      , -      , -      , -      , -      , -      ,0,23,88,3,0
13056,671, -      ,8,3,91,4,1, -      ,-3,313,293,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,48,20,0
13057,278, -      ,10,10,44,1,9,-114,46,70,407,6,7,148,209,893,247, -      , -      , -      , -      ,21,271,0
13058,0, -      ,2,2,0,11,12,-74, -      ,0,"2,046",3,3, -      , -      ,46,15, -      , -      , -      , -      ,36,160,0
13059,255, -      ,9,9,84,3,12,-86,33,142,"2,352",8,9,8,50,155,51, -      , -      ,11,13,59,502,0
13060, -      , -      ,2, -      , -      ,5,12, -      , -      ,"1,894",179,2,1, -      ,1, -      , -      , -      , -      , -      , -      ,97,110,0
13061,0, -      ,2,2,0,12,12,-184,0,641,"7,180",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,26,"1,535",0
13062,237, -      ,3,1,72,2,1, -      ,-145,283, -      ,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,32,46,0
13063, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,"1,011",330, -      , -      , -      , -      ,24,17,0
13064,"6,129", -      ,8,8,"5,712",2,1, -      ,-25,"5,734", -      ,3,4, -      , -      , -      , -      , -      , -      , -      , -      ,106,824,0
13065, -      , -      , -      , -      , -      ,1,1, -      , -      ,233, -      ,1,2, -      , -      ,867,233, -      , -      , -      , -      ,155,86,0
13066,69, -      ,13,18,10,12,12,-174,27,864,"2,709",6,4,28,110, -      , -      , -      , -      , -      , -      ,49,330,0
13067, -      , -      , -      , -      , -      ,12,1, -      ,0,25, -      ,1,1, -      , -      , -      , -      , -      , -      ,0,23,73,1,0
13068, -      , -      ,6,8,2,8,7,-155, -      ,54,"2,231",6,5,183,107, -      , -      , -      , -      , -      , -      ,60,400,0
13069, -      , -      ,12,18, -      ,6,12,128, -      ,0,283,2,2,198,108, -      , -      , -      , -      , -      , -      ,46,236,0
13070,777, -      ,8,5,413,8,7,-150,-573,"6,057","7,867",6,4, -      , -      , -      , -      , -      , -      ,0,23,20,434,0
13071, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,922,354, -      , -      , -      , -      ,136, -      ,0
13072, -      , -      ,1, -      , -      ,6,12, -      , -      ,18,"3,104",2,2, -      , -      ,387,102, -      , -      , -      , -      ,27,351,0
13073,67, -      ,0,1,2,1,1, -      ,6,6, -      ,1,2, -      , -      ,948,285, -      , -      , -      , -      ,112,93,0
13074,515, -      ,25,19,"1,126",2,1,"2,444","-3,200","3,292","16,887",7,8,16,66,777,265, -      , -      ,-23, -      ,190,929,0
13075,150, -      ,17,16,73,6,1, -      ,-3,160, -      ,2,2, -      , -      , -      , -      , -      , -      , -      , -      ,17,16,0
13076, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,31,33, -      , -      , -      , -      ,50,27,0
13077, -      , -      ,2,7, -      ,12,1, -      ,-771,"91,240", -      ,1,2, -      , -      , -      , -      ,"80,909",-771, -      , -      ,74,"1,724",0
13078,1, -      ,7,12,24,4,12,"1,878",-1,140,"9,471",5,5,33,56,"1,888",766, -      , -      , -      , -      ,38,"1,149",0
13079,379, -      ,2,5,27,3,1,121,-13,142,121,2,4,121,20, -      , -      , -      , -      , -      , -      ,15,12,0
13080, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,233,78, -      , -      , -      , -      ,29, -      ,0
13081,980, -      ,17,19,82,3,1, -      ,-4,467, -      ,3,4, -      , -      , -      , -      , -      , -      , -      , -      ,21,105,0
13082,1, -      ,2,3,0,7,8,17,0,0,32,1,2,17,7,"2,022",643, -      , -      , -      , -      ,100,"1,350",0
13083, -      , -      ,5,11, -      ,12,12,-151, -      ,54,"1,702",5,6,78,100,368,143, -      , -      , -      , -      ,13,349,0
13084,255, -      ,5,5,49,3,1, -      ,-7,160, -      ,4,4, -      , -      , -      , -      , -      , -      , -      , -      ,27,11,0
13085, -      , -      , -      , -      , -      ,1,1, -      , -      ,5,1,2,3, -      , -      ,"17,866","1,441", -      , -      , -      , -      ,65, -      ,0
13086,182, -      ,3,6,33,3,12,-232,30,"1,110","5,507",3,4,15,13, -      , -      , -      , -      , -      , -      ,105,553,0
13087, -      , -      ,1, -      ,12,3,1, -      , -      ,37,227,1,2, -      , -      ,"1,502",116, -      , -      , -      , -      ,30,170,0
13088,601, -      ,10,11,78,5,1,525,-82,156,"1,950",7,7,6,62,871,84, -      , -      , -      , -      ,48,241,0
13089,53, -      ,0, -      ,16,1,1, -      ,38,84,347, -      , -      , -      , -      , -      , -      , -      , -      , -      , -      ,36,391,0
13090, -      , -      ,2,2, -      ,1,12,13, -      ,8,"2,092",3,3,173,170, -      , -      , -      , -      , -      , -      ,20,377,0
13091,211, -      ,0, -      ,163,10,1, -      ,-196,"13,922", -      ,2,2, -      , -      , -      , -      , -      , -      , -      , -      ,26,139,0
13092,"1,021", -      ,2,6,17,1,1, -      ,38,44, -      ,1,2, -      , -      , -      , -      , -      , -      , -      , -      ,40,1,0
13093,2, -      ,15,4,0,7,12,-419,0,116,"2,719",7,3,98,62,236,53, -      , -      , -      , -      ,22,571,0
13094,14, -      ,2, -      ,11,2,12, -      ,-4,14,"1,681",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,29,193,0
13095,"2,839", -      ,5,5,"1,689",1,1, -      ,344,"1,812", -      ,4,4, -      , -      , -      , -      , -      , -      , -      , -      ,20,202,0
13096, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,456,148, -      , -      , -      , -      ,34,9,0
13097,399, -      ,3,2,175,8,1, -      ,-96,504, -      ,2,3, -      , -      , -      , -      , -      , -      , -      , -      ,12,89,0
13098,763, -      ,3,3,339,12,11,-685,155,"5,004","30,839",4,5, -      , -      ,0,0, -      , -      , -      , -      ,136,988,0
13099, -      , -      ,3,3, -      ,12,1, -      ,-38,"2,776", -      ,1,1, -      , -      , -      , -      ,"2,191",-38, -      , -      ,80,135,0
13100, -      , -      ,29,41, -      ,10,12,177, -      ,"1,057","6,940",8,9,487,521,"2,469",881, -      , -      , -      , -      ,190,"1,104",0
13101, -      , -      ,6,6, -      ,5,7,-44, -      ,7,"1,891",4,6,157,84,485,154, -      , -      , -      , -      ,77,760,0
13102,11, -      , -      , -      ,15,12,12, -      ,-4,91,"3,876",3,3, -      , -      ,262,63, -      , -      , -      , -      ,31,370,0
13103, -      , -      ,3,4, -      ,5,1, -      ,"1,922","80,112", -      ,2,3, -      , -      , -      , -      ,"66,654","1,922",0,23,61,"1,754",0
13104,0, -      ,2,4,0,7,12,-67,0,109,"1,109",2,3, -      , -      , -      , -      , -      , -      , -      , -      ,47,256,0
13105, -      ,2,7, -      ,7,5,1, -      , -      ,892, -      ,2, -      , -      , -      , -      , -      , -      , -      , -      , -      ,13,74,0
13106, -      , -      ,0, -      , -      ,12,1, -      , -      ,488, -      ,1,2, -      , -      ,312,168, -      , -      , -      , -      ,82,47,0
13107, -      , -      , -      , -      , -      ,11,12, -      , -      ,59,"1,994",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,31,282,0
13108,1, -      ,4,4,0,9,10,-118,0,17,"2,905",3,3, -      , -      ,"1,837",578, -      , -      , -      , -      ,23,475,0
13109,597, -      ,3,5,129,5,1, -      ,-29,"2,889", -      ,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,48,152,0
13110, -      , -      , -      , -      , -      ,7,12, -      , -      ,158,"5,066",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,20,463,0
13111, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,950,379, -      , -      , -      , -      ,34,18,0
13112,56, -      ,8,12,26,1,4,"-2,726",21,322,"8,455",3,6,181,81, -      , -      , -      , -      , -      , -      ,43,"1,270",0
13113,419, -      ,6,6,242,1,12,-25,2,941,"2,523",6,6,217,178,"-4,057","-1,343", -      , -      , -      , -      ,93,"1,522",0
13114,10, -      ,4,4,10,7,6,-149,0,470,"2,371",4,4,196,306, -      , -      , -      , -      , -      , -      ,53,596,0
13115, -      , -      , -      , -      , -      ,12,1, -      ,-1,34, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,132, -      ,0
13116,2, -      ,6,15,6,2,8,122,-16,17,"2,739",4,6,22,22,442,107, -      , -      , -      , -      ,49,557,0
13117,559, -      ,37,28,312,6,1, -      ,-193,406, -      ,4,4, -      , -      , -      , -      , -      , -      , -      , -      ,22,38,0
13118,24, -      ,5,8,15,1,10,-1,12,23,9,3,2, -      ,1,426,159, -      , -      , -      , -      ,103, -      ,0
13119, -      , -      ,1, -      , -      ,4,4, -      , -      ,20,113,1,2, -      ,19,256,149, -      , -      , -      , -      ,46,77,0
13120,"4,481", -      ,8,9,"3,725",6,12,-150,-584,"4,341","9,358",4,4, -      , -      , -      , -      , -      , -      , -      , -      ,20,419,0
13121,"1,388", -      ,4,5,270,3,12,"-1,252",-183,342,"30,062",5,7, -      , -      ,"1,353",593, -      , -      , -      , -      ,57,605,0
13122, -      , -      ,2,3, -      ,1,9,-66, -      , -      ,128,1,1,22,87,190,46, -      , -      , -      , -      ,112,210,0
13123,196, -      ,4,3,175,3,12,-122,-65,230,"2,111",4,4, -      ,0,277,51, -      , -      , -      , -      ,18,376,0
13124,855, -      ,30,23,161,8,4, -      ,-74,"18,929",38,5,5, -      ,1, -      , -      , -      , -      ,-77,12,25,250,0
13125, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,351,92, -      , -      , -      , -      ,50, -      ,0
13126, -      , -      , -      , -      , -      ,1,1, -      , -      ,57,"2,699",2,2, -      , -      ,586,186, -      , -      , -      , -      ,23,21,0
13127,245, -      ,8,6,33,7,10,27,-45,"1,898",162,4,5,145,58,"1,438",471, -      , -      , -      , -      ,15,129,0
13128, -      , -      ,5,6, -      ,11,6,8, -      ,8,296,3,4,262,272,800,250, -      , -      , -      , -      ,47,262,0
13129,0, -      ,1,4, -      ,1,2,-4,0,5,"4,221",3,2,7,6,38,30, -      , -      , -      , -      ,71,2,0
13130, -      , -      , -      , -      , -      ,12,1, -      ,0,25, -      ,1,1, -      , -      , -      , -      , -      , -      ,0,23,82,1,0
13131,188, -      ,24,31,262,6,4,33,-265,"4,483",71,5,5,33,18,-8,-3, -      , -      , -      , -      ,167,113,0
13132,628, -      ,3,3,18,1,1, -      ,46,49,"2,119",2,3, -      , -      , -      , -      , -      , -      , -      , -      ,92,"2,283",0
13133,241, -      ,8,9,87,12,2,-140,-11,463,169,4,4,30,71,-2,0, -      , -      , -      , -      ,48,88,0
13134, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,"2,454",787, -      , -      , -      , -      ,36, -      ,0
13135,"10,028", -      ,46,50,"8,253",11,11, -      ,-846,"12,972","2,259",5,5, -      ,8, -      , -      , -      , -      , -      , -      ,34,977,0
13136,355, -      ,9,8,40,12,12,-343,-19,"1,599","8,331",7,7,172,155,454,133, -      , -      , -      , -      ,190,"1,190",0
13137,3, -      ,4,3,2,9,12,-287,-1,29,"10,716",4,4, -      , -      , -      , -      , -      , -      , -      , -      ,53,461,0
13138,602, -      ,4,4,71,4,12,-92,40,347,"1,631",5,5, -      ,0,-7,-2, -      , -      , -      , -      ,24,143,0
13139, -      , -      ,3,3, -      ,11,1, -      ,-204,"14,846", -      ,1,1, -      , -      , -      , -      ,"12,981",-204, -      , -      ,40,367,0
13140,34, -      ,6,12,7,1,12,-501,"1,132","1,315","29,623",3,6, -      ,23, -      , -      ,"3,293","1,127", -      , -      ,16,997,0
13141,515, -      ,11,13,103,8,11, -      ,-6,335,4,4,4, -      , -      , -      , -      , -      , -      , -      , -      ,63,22,0
13142,259, -      ,29,21,143,3,1,41,-377,"4,227",54,7,9,42,10,"3,523","1,706", -      , -      ,-363,537,155, -      ,0
13143,"2,468", -      ,3,2,"9,465",3,1, -      ,"-1,713","23,692", -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,30,"1,649",0
13144,0, -      ,3,2,0,6,12,-367, -      ,10,"7,923",3,4, -      ,4,"8,461","2,972", -      , -      , -      , -      ,60,"1,558",0
13145,262, -      ,31,44,187,2,12, -      ,-949,"2,771","7,488",8,7, -      , -      ,"1,499",354, -      , -      ,-897,837,20,43,0
13146, -      , -      ,5,3,3,10,11,2,-4,22,165,3,3,143,145, -      , -      , -      , -      , -      , -      ,70,146,0
13147,592, -      , -      , -      ,592,12,12, -      ,1,"3,974",632,1,1, -      , -      ,13,23, -      , -      , -      , -      ,98,207,0
13148, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,1, -      , -      ,"9,715","5,098", -      , -      , -      , -      ,18, -      ,0
13149,"1,299", -      ,13,9,489,10,1, -      ,-74,"1,775", -      ,4,4, -      , -      , -      , -      , -      , -      , -      , -      ,25,167,0
13150,703, -      , -      , -      ,704,12,1, -      ,-19,897, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,108,195,0
13151, -      , -      ,3,2, -      ,11,10,-653, -      ,257,"7,645",3,5,1,2,"2,894","1,030", -      , -      , -      , -      ,41,"1,410",0
13152,362, -      ,1,2,396,7,1, -      ,-69,576, -      ,1,2, -      , -      , -      , -      , -      , -      , -      , -      ,17,53,0
13153,4, -      ,2, -      ,2,1,3,-115,1,4,"3,715",1,1, -      , -      , -      , -      , -      , -      , -      , -      ,31,739,0
13154,"1,054", -      ,3,2,446,8,1, -      ,-9,939, -      ,2,3, -      , -      , -      , -      , -      , -      , -      , -      ,74,59,0
13155,1, -      ,3,4,0,5,12,-224,0,208,"6,837",4,5, -      , -      , -      , -      , -      , -      , -      , -      ,61,"2,014",0
13156, -      , -      ,2,2, -      ,1,1, -      , -      , -      , -      ,2,3, -      , -      ,24,2, -      , -      , -      , -      ,71,1,0
13157, -      ,2, -      , -      , -      ,1,1, -      , -      , -      , -      ,1, -      , -      , -      , -      , -      , -      , -      , -      , -      ,58, -      ,0
13158, -      , -      ,2, -      ,"9,391",11,12, -      ,-660,"168,614","3,604",3,3, -      , -      , -      , -      ,"42,995",-660, -      , -      ,45,"2,329",0
13159, -      , -      ,2,3,0,4,12,37,0,1,"2,477",3,5,110,18,144,1, -      , -      , -      , -      ,114,827,0
13160, -      , -      ,8,8, -      ,8,12, -      , -      ,49,172,4,5, -      , -      ,"3,197",995, -      , -      , -      , -      ,79,145,0
13161, -      , -      , -      , -      , -      ,1,1, -      , -      ,56, -      ,1,1, -      , -      ,100,63, -      , -      , -      , -      ,65,84,0
13162, -      , -      , -      , -      , -      ,1,1, -      , -      ,136, -      ,0,1, -      , -      ,-3,-1, -      , -      , -      , -      ,31,0,0
13163, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,0,2, -      , -      ,212,104, -      , -      , -      , -      ,30,22,0
13164,393, -      ,8,8,40,3,12,11,22,77,295,3,4,54,37, -      , -      , -      , -      , -      , -      ,21,191,0
13165,251, -      ,18,34,23,1,6,-80,10,48,"2,567",5,6, -      , -      , -      , -      , -      , -      ,18,24,59,278,0
13166,227, -      ,7,19,48,2,12,138,-39,91,"1,735",6,7,8,16,316,69, -      , -      , -      , -      ,20,757,0
13167, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,3, -      , -      ,440,171, -      , -      , -      , -      ,34,17,0
13168, -      , -      , -      , -      , -      ,1,1, -      , -      , -      , -      ,1,2, -      , -      ,296,155, -      , -      , -      , -      ,56,1,0
13169, -      , -      , -      , -      , -      ,1,1, -      , -      , -      ,213,1,1, -      , -      ,462,221, -      , -      , -      , -      ,53, -      ,0
13170, -      , -      ,3,4, -      ,1,12,-142, -      , -      ,580,1,1,0,24, -      , -      , -      , -      , -      , -      ,24,12,0
13171,756, -      ,1,2,223,7,1, -      ,400,800, -      ,1,1, -      , -      , -      , -      , -      , -      , -      , -      ,40,44,0
13172,2, -      ,5,2,58,9,5,-208,-152,154,"7,643",4,5, -      , -      , -      , -      , -      , -      , -      , -      ,30,678,0
13173,653, -      ,9,13,114,5,1, -      ,39,258, -      ,3,3, -      , -      , -      , -      , -      , -      , -      , -      ,22,16,0
13174, -      , -      ,6,10,18,2,4,-115,-53,53,"3,010",4,6,110,49, -      , -      , -      , -      , -      , -      ,103,236,0
13175,"1,267", -      ,13,7,98,2,12,-692,-60,123,"2,754",5,7,27,47,"3,450","2,099", -      , -      , -      , -      ,29,"1,092",0
13176, -      , -      , -      , -      , -      ,1,1, -      , -      ,15,53,1,1, -      , -      ,527,176, -      , -      , -      , -      ,46, -      ,0
13177,"1,066", -      ,14,11,172,9,8,-487,-108,"1,463","7,896",7,8,443,235,"2,680",897, -      , -      , -      , -      ,20,409,0
13178,"4,891", -      ,13,13,211,1,1, -      ,320,647, -      ,4,5, -      , -      ,"2,481","1,397", -      , -      , -      , -      ,34,337,0
13179, -      , -      ,3,3, -      ,11,1, -      ,-42,"2,263", -      ,1,1, -      , -      , -      , -      ,"1,948",-42, -      , -      ,12,116,0
13180,417, -      ,23,30,43,7,12,-36,46,572,268,5,5,85,115, -      , -      , -      , -      , -      , -      ,25,117,0
13181, -      , -      ,15,18, -      ,11,12,"-1,460", -      ,384,"47,208",8,8,998,929,"2,242",700, -      , -      , -      , -      ,41,"1,320",0
13182, -      , -      ,3,3, -      ,1,1, -      ,326,"2,468", -      ,1,1, -      , -      , -      , -      ,"2,398",326, -      , -      ,15,163,0
13183,250, -      ,14,17,76,4,9,-52,-57,184,"2,207",7,7,121,55,"1,543",523, -      , -      , -      , -      ,21,294,0
